Currency,Market ID,Deposit Address,Tag,Withdraw Network,Deposit Network,
HOT,HOTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
W,WUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,SPL,SPL,
AVAX,AVAXUSDT,X-avax1r6989j8wj8qcmsvs85l4ed5m0jdv960ljqawna,,"BEP20, AVAX, AVAXC",AVAX,
CVX,CVXUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
LIT,LITUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
JST,JSTUSDT,TXHhDyGTcVUu4xWoQqFEj3qma475bs9SiW,,"BEP20, TRC20",TRC20,
RDNT,RDNTUSDT,0x88375aF965379fEFd65a45778920b5eCA5382a6A,,"BEP20, ARBITRUM, ERC20",ARBITRUM,*
HIGH,HIGHUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
COMP,COMPUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
XLM,XLMUSDT,GAGCX4RX6OAZMPNRGDMHLQ7OMHXZM7I3CZO2ISXCJ3OMNDPE5Q7ENCDA,1360745071,"BEP20, XLM",XLM,
RNDR,RNDRUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
MINA,MINAUSDT,,,MINA,,
PYTH,PYTHUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,SPL,SPL,
USDC,USDCUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,"BEP20, AVAXC, ALGO, ARBITRUM, STATEMINT, BEP2, BASE, CELO, ERC20, NEAR, OPTIMISM, MATIC, RON, SPL, XLM, TRC20",SPL,
ALGO,ALGOUSDT,6CJC2S47XPVW6CXQLMYBKF43AXQHWPHWIGTUMIVL4LPEMEGEZWKJJLSMBE,,ALGO,ALGO,
KAVA,KAVAUSDT,kava1zr0hr4ux7atmyy00u9lmgn5exze04jrf0tgzaz,,"KAVA, BEP2, KAVAEVM",KAVA,
CELO,CELOUSDT,0x379c8BA16460e9eB968302Cf2451F299914F3036,,CELO,CELO,
RUNE,RUNEUSDT,thor1w9wgfm083f3gum427vh7tvtvnuzws4kfxanyjk,,RUNE,RUNE,
CFX,CFXUSDT,0x18D22B7D1B8238f38E6A6db1314C93C6E139d0F9,,"BEP20, CFX, CFXEVM",CFX,
ANKR,ANKRUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
BNB,BNBUSDT,0x56a40ed91fF7a4035A9C7bDB763c22Cbbb091542,,"BEP20, BEP2, ERC20, OPBNB",,*
ONT,ONTUSDT,AUx8yJsnRhFTBsrvzPifVfJ5FVm2sTvwUd,,"BEP20, ONT, BEP2",ONT,
BAND,BANDUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BAND, BEP2, ERC20",ERC20,
SNT,SNTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
NEO,NEOUSDT,NL86g6FGb1Can51JLZ16gwHAiorXVjnCaG,,"NEO, NEO3",NEO,
MEME,MEMEUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
IOST,IOSTUSDT,coinone_d,1360745071,"IOST, ERC20",IOST,
TNSR,TNSRUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,SPL,SPL,
T,TUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
STG,STGUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"AVAXC, ARBITRUM, BEP20, ERC20, FTM, MATIC",ERC20,
MANTA,MANTAUSDT,0x86b19F151D79214fb853E8DE377947c4Ed3d60e2,,MANTA,MANTA,
ETH,ETHUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20, ARBITRUM, BEP2, BASE, MANTA, OPTIMISM, STARKNET, ZKSYNCERA",ETH,
FXS,FXSUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
ERN,ERNUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
MBL,MBLUSDT,AUx8yJsnRhFTBsrvzPifVfJ5FVm2sTvwUd,,"BEP20, ONT",,*
JUP,JUPUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,SPL,SPL,
BAL,BALUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
JTO,JTOUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,SPL,SPL,
IMX,IMXUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
EOS,EOSUSDT,coinonekorea,1360745071,"BEP20, EOS, BEP2",EOS,
MTL,MTLUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
MKR,MKRUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
COS,COSUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
AUCTION,AUCTIONUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
UNI,UNIUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
BLUR,BLURUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
SNX,SNXUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20, OPTIMISM",ERC20,
ALPHA,ALPHAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
SOL,SOLUSDT,BV57F9phTP1gAUfE5GkyWbLEjejVuhWDEssUTrKCx18s,,"BEP20, SPL",SPL,*
BEL,BELUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
DODO,DODOUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ARBITRUM, ERC20",ERC20,
HIFI,HIFIUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
WLD,WLDUSDT,0xA225BFc6E02042d2d97074759dBfCa37a5Aa3c9e,,"ERC20, OPTIMISM",OPTIMISM,
TRX,TRXUSDT,TXHhDyGTcVUu4xWoQqFEj3qma475bs9SiW,,"BEP20, TRC20, BEP2, ERC20",TRC20,
NEAR,NEARUSDT,c3d805530ffa3cdce37fa374161bfc91f0a655307735a478f5a88c992b0db79a,,"BEP20, NEAR, BEP2",NEAR,
KNC,KNCUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20, MATIC",ERC20,
XRP,XRPUSDT,rp2diYfVtpbgEMyaoWnuaWgFCAkqCAEg28,1360745071,"BEP20, XRP, BEP2, ERC20",XRP,
AI,AIUSDT,0x56a40ed91fF7a4035A9C7bDB763c22Cbbb091542,,BEP20,BEP20,
GLM,GLMUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
FIL,FILUSDT,f1zrirx6d2qam56uhakexadn5yujkp6hlbfftjesq,,"BEP20, FIL, BEP2, ERC20, FILEVM",FIL,
CKB,CKBUSDT,ckb1qyq9mxfuyg4l0672g265t2k4qr8lhca3jgxsvfgykh,,CKB,CKB,
STPT,STPTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
BAT,BATUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
FTM,FTMUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, FTM, BEP2, ERC20",ERC20,
SAND,SANDUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20, MATIC",ERC20,
SUN,SUNUSDT,TXHhDyGTcVUu4xWoQqFEj3qma475bs9SiW,,"BEP20, TRC20",TRC20,
BNT,BNTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
ILV,ILVUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
SUSHI,SUSHIUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
DOGE,DOGEUSDT,DMNSPTpEHmuPMMZBcotzJKRaEZkSdDdrwF,,"BEP20, DOGE, BEP2",DOGE,
ASTR,ASTRUSDT,ZVLSQdL3UULM3HXqi9vyHPBvFBrHriDwYdikd1sRU8VaH11,,ASTR,ASTR,
PHA,PHAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
LQTY,LQTYUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
WAVES,WAVESUSDT,3PLfnUSioeCoesyK3LYH95USjyZwiKx6HbS,,"BEP20, WAVES",WAVES,
APT,APTUSDT,0x6d48320324019b355c654a092ce123f2c8503f6f770125f5800b4f9b12c5d170,,APT,,
SXP,SXPUSDT,SjXDgp8s7yUKPo54J211xo12FvJoFWCtDV,,"BEP20, SXP",SXP,
FLOW,FLOWUSDT,0x8bab90c5a62fbbd8,,"BEP20, FLOW",FLOW,
BCH,BCHUSDT,bitcoincash:qz95c0e32gehwhcqeqy0u7vxf7tw8pc02vwt7f9xam,,"BEP20, BCH, BEP2, ERC20",BCH,
GAL,GALUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
TIA,TIAUSDT,celestia1a9mq9qch63ll5u5lkp3cgv734ywlpx90ha9gaz,1360745071,TIA,TIA,
DOT,DOTUSDT,14ufowuVCUfJzow73PdZa5QJ9oDZfU4x832XW1EnnymWuyuV,,"BEP20, DOT, BEP2",DOT,
REZ,REZUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
ETHFI,ETHFIUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
ETC,ETCUSDT,0x44Fd116522867C46B2414BF365C5a6a594F3AD2D,,"BEP20, ETC, BEP2",ETC,
PENDLE,PENDLEUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"ARBITRUM, BEP20, ERC20",ERC20,
AAVE,AAVEUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
MASK,MASKUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
XTZ,XTZUSDT,tz1gX8fBGBPnZ7rHVSg2LNoVttX2oZ5qHZiX,,"BEP20, XTZ, BEP2",XTZ,
